"SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","AGtitle","BudgetSubActivityTitle","BudgetLineItem"
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,,,2012,"OCO",,,,,,,,
2012,"by appropriation.",,,,,,,,,,2012,"OCO",,,,,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,,,2012,"OCO",,,,,,,,
2012,"level for each appropriation.",,,,,,,,,,2012,"OCO",,,,,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Total",,,,101194,,,,
2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","ES01","Prepositioned War Reserve Stocks","Y","U",2012,"Total",,,,54000,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2012,"Total",,,,0,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2012,"Total",,,,425865,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2012,"Total",,,,24161,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2012,"Total",,,,1138,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"Total",,,,92567,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2012,"Total",,,,184109,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2012,"Total",,,,40831,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","0300","Strategic Sealift Support","Y","U",2012,"Total",,,,0,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","0900","Research And Development","Y","U",2012,"Total",,,,48443,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0500","Ready Reserve Force","Y","U",2012,"Total",,,,309270,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"Total",,,,0,,,,
2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Total",,,,0,,,,
2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","ES17","Fuel Costs","Y","U",2012,"Total",,,,0,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","200","Transportation Fallen Heroes","Y","U",2012,"Total",,,,10000,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","210","Container Deconsolidation","Y","U",2012,"Total",,,,2000,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","220","War Reserve Material","Y","U",2012,"Total",,,,65372,,,,
2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","ES17","Fuel Costs","Y","U",2012,"Total",,,,0,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","110","Defense Coalition Support","Y","U",2012,"Total",,,,0,,,,
2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Total",,,,0,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Total",,,,0,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"Total",,,,400627,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Total",,,,0,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","010","Supply Chain Management - Def","Y","U",2012,"Total",,,,0,,,,
2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","010","Energy Management - Def","Y","U",2012,"Total",,,,0,,,,
2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2012,"Total",,,,1376830,,,,
2012,,,,,,,,,,,2012,"Total",,,,,,,,
2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",,,,,,,,,,2012,"Total",,,,,,,,
2012,"by appropriation.",,,,,,,,,,2012,"Total",,,,,,,,
2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",,,,,,,,,,2012,"Total",,,,,,,,
2012,"level for each appropriation.",,,,,,,,,,2012,"Total",,,,,,,,
2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2011,"Total",,,,54636,,"Working Capital Fund",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2011,"Total",,,,124327,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2011,"Total",,,,551647,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2011,"Total",,,,36955,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2011,"Total",,,,0,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2011,"Total",,,,84908,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2011,"Total",,,,24942,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2011,"Total",,,,24383,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","080","0900","Research And Development","Y","U",2011,"Total",,,,18149,,"Research And Development",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","090","0500","Ready Reserve Force","Y","U",2011,"Total",,,,332130,,"Ready Reserve and Prepositioning Force",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0510","MARAD Ship Financing Guarantee Program","Y","U",2011,"Total",,,,40000,,"Ready Reserve and Prepositioning Force",,
2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","010","220","C-17 CLS Engine Repair","Y","U",2011,"Total",,,,0,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","200","Transportation Fallen Heroes","Y","U",2011,"Total",,,,15000,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","210","Container Deconsolidation","Y","U",2011,"Total",,,,2000,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","040","111","Supplies and Materials (Medical/Dental)","Y","U",2011,"Total",,,,66861,,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2011,"Total",,,,39468,,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total",,,,468384,,"Undistributed",,
2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2011,"Total",,,,1273571,,"Working Capital Fund Support",,
2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Base",,,,,101194,"Working Capital Fund",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2012,"Base",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2012,"Base",,,,,4e+05,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2012,"Base",,,,,24161,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2012,"Base",,,,,1138,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"Base",,,,,92567,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2012,"Base",,,,,184109,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2012,"Base",,,,,40831,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","080","0900","Research And Development","Y","U",2012,"Base",,,,,48443,"Research And Development",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","090","0500","Ready Reserve Force","Y","U",2012,"Base",,,,,273826,"Ready Reserve and Prepositioning Force",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"Base",,,,,0,"Ready Reserve and Prepositioning Force",,
2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","010","220","C-17 CLS Engine Repair","Y","U",2012,"Base",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","200","Transportation Fallen Heroes","Y","U",2012,"Base",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","210","Container Deconsolidation","Y","U",2012,"Base",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","040","111","Supplies and Materials (Medical/Dental)","Y","U",2012,"Base",,,,,65372,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"Base",,,,,31614,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",,,,,0,"Undistributed",,
2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2012,"Base",,,,,1376830,"Working Capital Fund Support",,
2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"OCO",,,,,54000,"Working Capital Fund",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2012,"OCO",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2012,"OCO",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2012,"OCO",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2012,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2012,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2012,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","080","0900","Research And Development","Y","U",2012,"OCO",,,,,0,"Research And Development",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","090","0500","Ready Reserve Force","Y","U",2012,"OCO",,,,,0,"Ready Reserve and Prepositioning Force",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"OCO",,,,,0,"Ready Reserve and Prepositioning Force",,
2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","010","220","C-17 CLS Engine Repair","Y","U",2012,"OCO",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","200","Transportation Fallen Heroes","Y","U",2012,"OCO",,,,,10000,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","210","Container Deconsolidation","Y","U",2012,"OCO",,,,,2000,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","040","111","Supplies and Materials (Medical/Dental)","Y","U",2012,"OCO",,,,,0,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"OCO",,,,,369013,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",,,,,0,"Undistributed",,
2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2012,"OCO",,,,,0,"Working Capital Fund Support",,
2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Total",,,,155194,,"Working Capital Fund",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2012,"Total",,,,0,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2012,"Total",,,,4e+05,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2012,"Total",,,,24161,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2012,"Total",,,,1138,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"Total",,,,92567,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2012,"Total",,,,184109,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2012,"Total",,,,40831,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","080","0900","Research And Development","Y","U",2012,"Total",,,,48443,,"Research And Development",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","090","0500","Ready Reserve Force","Y","U",2012,"Total",,,,273826,,"Ready Reserve and Prepositioning Force",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"Total",,,,0,,"Ready Reserve and Prepositioning Force",,
2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","010","220","C-17 CLS Engine Repair","Y","U",2012,"Total",,,,0,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","200","Transportation Fallen Heroes","Y","U",2012,"Total",,,,10000,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","210","Container Deconsolidation","Y","U",2012,"Total",,,,2000,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","040","111","Supplies and Materials (Medical/Dental)","Y","U",2012,"Total",,,,65372,,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"Total",,,,400627,,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Total",,,,0,,"Undistributed",,
2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2012,"Total",,,,1376830,,"Working Capital Fund Support",,
2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2013,"Base",,,,,60037,"Working Capital Fund",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2013,"Base",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2013,"Base",,,,,38000,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2013,"Base",,,,,39386,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2013,"Base",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2013,"Base",,,,,128819,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2013,"Base",,,,,26598,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2013,"Base",,,,,29199,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","080","0900","Research And Development","Y","U",2013,"Base",,,,,42811,"Research And Development",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","090","0500","Ready Reserve Force","Y","U",2013,"Base",,,,,303323,"Ready Reserve and Prepositioning Force",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0510","MARAD Ship Financing Guarantee Program","Y","U",2013,"Base",,,,,0,"Ready Reserve and Prepositioning Force",,
2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","010","220","C-17 CLS Engine Repair","Y","U",2013,"Base",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","200","Transportation Fallen Heroes","Y","U",2013,"Base",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","210","Container Deconsolidation","Y","U",2013,"Base",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","040","111","Supplies and Materials (Medical/Dental)","Y","U",2013,"Base",,,,,45452,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2013,"Base",,,,,39135,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2013,"Base",,,,,0,"Undistributed",,
2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2013,"Base",,,,,1371560,"Working Capital Fund Support",,
2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2013,"OCO",,,,,42600,"Working Capital Fund",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2013,"OCO",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2013,"OCO",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2013,"OCO",,,,,0,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2013,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2013,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2013,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2013,"OCO",,,,,0,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","080","0900","Research And Development","Y","U",2013,"OCO",,,,,0,"Research And Development",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","090","0500","Ready Reserve Force","Y","U",2013,"OCO",,,,,0,"Ready Reserve and Prepositioning Force",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0510","MARAD Ship Financing Guarantee Program","Y","U",2013,"OCO",,,,,0,"Ready Reserve and Prepositioning Force",,
2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","010","220","C-17 CLS Engine Repair","Y","U",2013,"OCO",,,,,230400,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","200","Transportation Fallen Heroes","Y","U",2013,"OCO",,,,,10000,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","210","Container Deconsolidation","Y","U",2013,"OCO",,,,,0,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","040","111","Supplies and Materials (Medical/Dental)","Y","U",2013,"OCO",,,,,0,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2013,"OCO",,,,,220364,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2013,"OCO",,,,,0,"Undistributed",,
2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2013,"OCO",,,,,0,"Working Capital Fund Support",,
2013,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2013,"Total",,,,102637,,"Working Capital Fund",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","0120","T-AKE","Y","U",2013,"Total",,,,0,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","0401","MPF MLP","Y","U",2013,"Total",,,,38000,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","5000","Post Delivery and Outfitting","Y","U",2013,"Total",,,,39386,,"Strategic Sealift Acquisition",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","0200","National Def Sealift Vessel","Y","U",2013,"Total",,,,0,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2013,"Total",,,,128819,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","0230","DoD Mobilization Alterations","Y","U",2013,"Total",,,,26598,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","0250","TAH Maintenance","Y","U",2013,"Total",,,,29199,,"Mobilization Preparedness",,
2013,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","080","0900","Research And Development","Y","U",2013,"Total",,,,42811,,"Research And Development",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","090","0500","Ready Reserve Force","Y","U",2013,"Total",,,,303323,,"Ready Reserve and Prepositioning Force",,
2013,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","0510","MARAD Ship Financing Guarantee Program","Y","U",2013,"Total",,,,0,,"Ready Reserve and Prepositioning Force",,
2013,"493003F","Working Capital Fund, Air Force","AF","10","Transportation","010","220","C-17 CLS Engine Repair","Y","U",2013,"Total",,,,230400,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","200","Transportation Fallen Heroes","Y","U",2013,"Total",,,,10000,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","210","Container Deconsolidation","Y","U",2013,"Total",,,,0,,"Working Capital Fund",,
2013,"493003F","Working Capital Fund, Air Force","AF","21","Supply MGMT","040","111","Supplies and Materials (Medical/Dental)","Y","U",2013,"Total",,,,45452,,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","ES08","Defense Logistics Agency (DLA)","Y","U",2013,"Total",,,,259499,,"Working Capital Fund",,
2013,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","CR11","Adj to Match Continuing Resolution","Y","U",2013,"Total",,,,0,,"Undistributed",,
2013,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","ES11","Working Capital Fund, DECA","Y","U",2013,"Total",,,,1371560,,"Working Capital Fund Support",,
2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Total",155194,,,,,"Working Capital Fund",,
2014,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","CR","Adj to Match Continuing Resolution","Y","U",2012,"Total",0,,,,,"Undistributed",,
2014,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","010","0100","LMSR","Y","U",2012,"Total",73798,,,,,"Strategic Sealift Acquisition",,
