"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"79",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","79  ","0604270A","Electronic Warfare Development","79  ","Y","Y","U",2012,"Total",33164,NA,NA,NA,NA
"80",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","80  ","0604280A","Joint Tactical Radio","80  ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"81",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","81  ","0604290A","Mid-tier Networking Vehicular Radio (MNVR)","81  ","Y","Y","U",2012,"Total",47000,NA,NA,NA,NA
"82",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","82  ","0604321A","All Source Analysis System","82  ","Y","Y","U",2012,"Total",7400,NA,NA,NA,NA
"83",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","83  ","0604328A","TRACTOR CAGE","83  ","Y","Y","U",2012,"Total",23535,NA,NA,NA,NA
"84",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","84  ","0604601A","Infantry Support Weapons","84  ","Y","Y","U",2012,"Total",81081,NA,NA,NA,NA
"85",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","85  ","0604604A","Medium Tactical Vehicles","85  ","Y","Y","U",2012,"Total",3835,NA,NA,NA,NA
"86",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","86  ","0604611A","JAVELIN","86  ","Y","Y","U",2012,"Total",9655,NA,NA,NA,NA
"87",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","87  ","0604622A","Family of Heavy Tactical Vehicles","87  ","Y","Y","U",2012,"Total",5239,NA,NA,NA,NA
"88",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","88  ","0604633A","Air Traffic Control","88  ","Y","Y","U",2012,"Total",22218,NA,NA,NA,NA
"89",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","89  ","0604641A","Tactical Unmanned Ground Vehicle (TUGV)","89  ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"90",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","90  ","0604642A","Light Tactical Wheeled Vehicles","90  ","Y","Y","U",2012,"Total",68442,NA,NA,NA,NA
"91",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","91  ","0604661A","FCS Systems of Systems Engr & Program Mgmt","91  ","Y","Y","U",2012,"Total",257513,NA,NA,NA,NA
"92",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","92  ","0604663A","FCS Unmanned Ground Vehicles","92  ","Y","Y","U",2012,"Total",34845,NA,NA,NA,NA
"93",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","93  ","0604710A","Night Vision Systems - Eng Dev","93  ","Y","Y","U",2012,"Total",55412,NA,NA,NA,NA
"94",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","94  ","0604713A","Combat Feeding, Clothing, and Equipment","94  ","Y","Y","U",2012,"Total",2008,NA,NA,NA,NA
"95",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","95  ","0604715A","Non-System Training Devices - Eng Dev","95  ","Y","Y","U",2012,"Total",29206,NA,NA,NA,NA
"96",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","96  ","0604716A","Terrain Information - Eng Dev","96  ","Y","Y","U",2012,"Total",1593,NA,NA,NA,NA
"97",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","97  ","0604741A","Air Defense Command, Control and Intelligence - Eng Dev","97  ","Y","Y","U",2012,"Total",57050,NA,NA,NA,NA
