"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","IncludeInTOA","Classified","FiscalYear","OriginType","Var.16","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"630",2017,"0100D","Operation and Maintenance, Defense-Wide","DAU","03","Training and Recruiting","Defensewide Activities","Defense Acquisition University","040","040","3EV2","Y","U",2015,"Total",NA,134940,NA,NA,NA,NA
"631",2017,"0100D","Operation and Maintenance, Defense-Wide","TJS","03","Training and Recruiting","Recruiting, and Other Training & Education","Joint Chiefs of Staff","050","050","3PL1","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"632",2017,"0100D","Operation and Maintenance, Defense-Wide","NDU","03","Training and Recruiting","Recruiting, and Other Training & Education","National Defense University","060","060","PEV5","Y","U",2015,"Total",NA,87597,NA,NA,NA,NA
"633",2017,"0100D","Operation and Maintenance, Defense-Wide","SOCOM","03","Training and Recruiting","Defensewide Activities","Special Operations Command/Training and Recruiting","070","070","3EV7","Y","U",2015,"Total",NA,352415,NA,NA,NA,NA
"634",2017,"0100D","Operation and Maintenance, Defense-Wide","CMP","04","Administration and Servicewide Activities","Defensewide Activities","Civil Military Programs","080","080","4GT3","Y","U",2015,"Total",NA,163923,NA,NA,NA,NA
"635",2017,"0100D","Operation and Maintenance, Defense-Wide","DCAA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Contract Audit Agency","100","100","4GT6","Y","U",2015,"Total",NA,572935,NA,NA,NA,NA
"636",2017,"0100D","Operation and Maintenance, Defense-Wide","DCMA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Contract Management Agency","110","110","4GTO","Y","U",2015,"Total",NA,1290715,NA,NA,NA,NA
"637",2017,"0100D","Operation and Maintenance, Defense-Wide","DHRA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Human Resources Activity","120","120","4GT8","Y","U",2015,"Total",NA,669332,NA,NA,NA,NA
"638",2017,"0100D","Operation and Maintenance, Defense-Wide","DISA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Information Systems Agency","130","130","4GT9","Y","U",2015,"Total",NA,1322724,NA,NA,NA,NA
"639",2017,"0100D","Operation and Maintenance, Defense-Wide","DLSA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Legal Services Agency","150","150","4GTA","Y","U",2015,"Total",NA,126576,NA,NA,NA,NA
"640",2017,"0100D","Operation and Maintenance, Defense-Wide","DLA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Logistics Agency","160","160","4GTB","Y","U",2015,"Total",NA,372663,NA,NA,NA,NA
"641",2017,"0100D","Operation and Maintenance, Defense-Wide","DMACT","04","Administration and Servicewide Activities","Defensewide Activities","Defense Media Activity","170","170","ES18","Y","U",2015,"Total",NA,195313,NA,NA,NA,NA
"642",2017,"0100D","Operation and Maintenance, Defense-Wide","DPAA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Personnel Accounting Agency","180","180","4GTC","Y","U",2015,"Total",NA,127394,NA,NA,NA,NA
"643",2017,"0100D","Operation and Maintenance, Defense-Wide","DSCA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Security Cooperation Agency","190","190","4GTD","Y","U",2015,"Total",NA,2665108,NA,NA,NA,NA
"644",2017,"0100D","Operation and Maintenance, Defense-Wide","DSS","04","Administration and Servicewide Activities","Defensewide Activities","Defense Security Service","200","200","4GTE","Y","U",2015,"Total",NA,559281,NA,NA,NA,NA
"645",2017,"0100D","Operation and Maintenance, Defense-Wide","DEFW","04","Administration and Servicewide Activities","Defensewide Activities","Defense Support Activities","220","220","4GTG","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"646",2017,"0100D","Operation and Maintenance, Defense-Wide","DTSA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Technology Security Administration","230","230","4GTH","Y","U",2015,"Total",NA,32284,NA,NA,NA,NA
"647",2017,"0100D","Operation and Maintenance, Defense-Wide","DTRA","04","Administration and Servicewide Activities","Defensewide Activities","Defense Threat Reduction Agency","240","240","4GTI","Y","U",2015,"Total",NA,407501,NA,NA,NA,NA
"648",2017,"0100D","Operation and Maintenance, Defense-Wide","DODEA","04","Administration and Servicewide Activities","Defensewide Activities","Department of Defense Education Activity","260","260","4GTJ","Y","U",2015,"Total",NA,2638349,NA,NA,NA,NA
"649",2017,"0100D","Operation and Maintenance, Defense-Wide","MDA","04","Administration and Servicewide Activities","Defensewide Activities","Missile Defense Agency","270","270","011A","Y","U",2015,"Total",NA,402462,NA,NA,NA,NA
"650",2017,"0100D","Operation and Maintenance, Defense-Wide","OEA","04","Administration and Servicewide Activities","Defensewide Activities","Office of Economic Adjustment","290","290","4GTM","Y","U",2015,"Total",NA,152413,NA,NA,NA,NA
"651",2017,"0100D","Operation and Maintenance, Defense-Wide","OSD","04","Administration and Servicewide Activities","Defensewide Activities","Office of the Secretary of Defense","300","300","4GTN","Y","U",2015,"Total",NA,1999262,NA,NA,NA,NA
"652",2017,"0100D","Operation and Maintenance, Defense-Wide","SOCOM","04","Administration and Servicewide Activities","Defensewide Activities","Special Operations Command/Admin & Svc-wide Activities","310","310","4GT1","Y","U",2015,"Total",NA,87095,NA,NA,NA,NA
"653",2017,"0100D","Operation and Maintenance, Defense-Wide","WHS","04","Administration and Servicewide Activities","Defensewide Activities","Washington Headquarters Services","320","320","4GTQ","Y","U",2015,"Total",NA,589242,NA,NA,NA,NA
"654",2017,"0100D","Operation and Maintenance, Defense-Wide","","04","Administration and Servicewide Activities","","Classified Programs","","","9999","Y","U",2015,"Total",NA,15324606,NA,NA,NA,NA
"655",2017,"0107D","Office of the Inspector General","IG","01","Operation And Maintenance","Defensewide Activities","Office of the Inspector General","010","010","4GTV","Y","U",2015,"Total",NA,306196,NA,NA,NA,NA
"656",2017,"0107D","Office of the Inspector General","IG","02","RDT&E","Defensewide Activities","Office of the Inspector General","020","020","4GTV","Y","U",2015,"Total",NA,1400,NA,NA,NA,NA
"657",2017,"0107D","Office of the Inspector General","IG","03","Procurement","Defensewide Activities","Office of the Inspector General","030","030","4GTV","Y","U",2015,"Total",NA,1000,NA,NA,NA,NA
"658",2017,"0104D","US Court of Appeals for Armed Forces, Def","CAAF","04","Administration And Associated Activities","Defensewide Activities","Us Court of Appeals for the Armed Forces, Defense","010","010","4GTT","Y","U",2015,"Total",NA,13723,NA,NA,NA,NA
"659",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","In-House Care","010","010","1","Y","U",2015,"Total",NA,8622357,NA,NA,NA,NA
"660",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Private Sector Care","020","020","2","Y","U",2015,"Total",NA,15701308,NA,NA,NA,NA
"661",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Consolidated Health Support","030","030","3","Y","U",2015,"Total",NA,2027665,NA,NA,NA,NA
"662",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Information Management","040","040","4","Y","U",2015,"Total",NA,1475130,NA,NA,NA,NA
"663",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Management Activities","050","050","5","Y","U",2015,"Total",NA,321391,NA,NA,NA,NA
"664",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Education and Training","060","060","6","Y","U",2015,"Total",NA,662560,NA,NA,NA,NA
"665",2017,"0130D","Defense Health Program","DHA","01","Operation & Maintenance","Defense Health Program","Base Operations/Communications","070","070","7","Y","U",2015,"Total",NA,1859115,NA,NA,NA,NA
"666",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Research","080","080","0601","Y","U",2015,"Total",NA,11186,NA,NA,NA,NA
"667",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Exploratry Development","090","090","0602","Y","U",2015,"Total",NA,68382,NA,NA,NA,NA
"668",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Advanced Development","100","100","0603","Y","U",2015,"Total",NA,1177620,NA,NA,NA,NA
"669",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Demonstration/Validation","110","110","0604","Y","U",2015,"Total",NA,146411,NA,NA,NA,NA
"670",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Engineering Development","120","120","0605","Y","U",2015,"Total",NA,240551,NA,NA,NA,NA
"671",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Management and Support","130","130","0606","Y","U",2015,"Total",NA,38052,NA,NA,NA,NA
"672",2017,"0130D","Defense Health Program","DHA","02","RDT&E","Defensewide Activities","R&D Capabilities Enhancement","140","140","0607","Y","U",2015,"Total",NA,16413,NA,NA,NA,NA
"673",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Initial Outfitting","150","150","7720","Y","U",2015,"Total",NA,13057,NA,NA,NA,NA
"674",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Replacement & Modernization","160","160","7721","Y","U",2015,"Total",NA,219212,NA,NA,NA,NA
"675",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Theater Medical Information Program","170","170","7744","Y","U",2015,"Total",NA,3145,NA,NA,NA,NA
"676",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC Joint Operational Medicine Information System","180","180","7746","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"677",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC IEHR","190","190","7784","Y","U",2015,"Total",NA,3199,NA,NA,NA,NA
"678",2017,"0130D","Defense Health Program","DHA","03","Procurement","Defensewide Activities","PROC DoD Healthcare Management System Modernization","200","200","7787","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"679",2017,"0819D","Overseas Humanitarian, Disaster, and Civic Aid","DSCA","01","Humanitarian Assistance","Defensewide Activities","Overseas Humanitarian, Disaster and Civic Aid","010","010","4GTD","Y","U",2015,"Total",NA,103000,NA,NA,NA,NA
"680",2017,"0134D","Cooperative Threat Reduction Account","DTRA","01","FSU Threat Reduction","Defensewide Activities","Former Soviet Union (FSU) Threat Reduction","010","010","1PL3","Y","U",2015,"Total",NA,365108,NA,NA,NA,NA
"681",2017,"5751D","Contributions to the Cooperative Threat Red Pgm","DTRA","01","FSU Threat Reduction","Defensewide Activities","Contributions to the CTR Program","010","010","1PL3","Y","U",2015,"Total",NA,560,NA,NA,NA,NA
"682",2017,"0111D","DoD Acquisition Workforce Development Fund","DAU","01","Acquisition Workforce Development","Acq Workforce Dev Fd","Acq Workforce Dev Fd","010","010","012","Y","U",2015,"Total",NA,79234,NA,NA,NA,NA
"683",2017,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","01","Drug Interdiction And Counter Drug Activities","Defensewide Activities","Drug Interdiction and Counter-Drug Activities, Defense","010","010","2FU1","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"684",2017,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPSDDR","02","Drug Demand Reduction Program","Drug Intrdct & Cntr-Drg Act, Def","Drug Demand Reduction Program","020","020","ES01","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"685",2017,"0105D","Drug Interdiction & Ctr-Drug Activities, Def","DEPS","03","National Guard Counter-Drug Program","Drug Intrdct & Cntr-Drg Act, Def","National Guard Counter-Drug Program","030","030","ES01","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"686",2017,"0810A","Environmental Restoration, Army","ARMY","01","Department Of The Army","Defense Environmental Restoration Fund","Environmental Restoration, Army","040","040","493","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"687",2017,"0810N","Environmental Restoration, Navy","NAVY","02","Department Of The Navy","Closed Account Adjustments","Environmental Restoration, Navy","050","050","044G","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"688",2017,"0810F","Environmental Restoration, Air Force","AF","03","Department Of The Air Force","Closed Account Adjustments","Environmental Restoration, Air Force","060","060","042G","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"689",2017,"0810D","Environmental Restoration, Defense","DEFW","04","Defense-Wide","Closed Account Adjustments","Environmental Restoration, Defense","070","070","045G","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"690",2017,"0811D","Environmental Restoration Formerly Used Sites","DEFW","05","Defense-Wide","Closed Account Adjustments","Environmental Restoration Formerly Used Sites","080","080","047G","Y","U",2015,"Total",NA,0,NA,NA,NA,NA
"691",2017,"0145D","Counterterrorism Partnerships Fund","DEFW","01","Counterterrorism Partnerships Fund","Counterterrorism Partnerships Fund","Counterterrorism Partnerships Fund","090","090","010","Y","U",2015,"Total",NA,713098,NA,NA,NA,NA
"692",2017,"0838D","Support for International Sporting Competitions , Defense","DEFW","01","Operations Support","Closed Account Adjustments","Support of International Sporting Competitions, Defense","100","100","054","Y","U",2015,"Total",NA,6366,NA,NA,NA,NA
"693",2017,"5188D","Disposal of DoD Real Property","AF","10","Concept Obligations","Disposal of DoD Real Property","Disposal of DoD Real Property","110","110","110","N","U",2015,"Total",NA,617,NA,NA,NA,NA
"694",2017,"5188D","Disposal of DoD Real Property","ARMY","10","Concept Obligations","Disposal of DoD Real Property","Disposal of DoD Real Property","120","120","110","N","U",2015,"Total",NA,4700,NA,NA,NA,NA
"695",2017,"5188D","Disposal of DoD Real Property","NAVY","10","Concept Obligations","Disposal of DoD Real Property","Disposal of DoD Real Property","130","130","110","N","U",2015,"Total",NA,3587,NA,NA,NA,NA
"696",2017,"5189D","Lease of DoD Real Property","AF","10","Concept Obligations","Lease of DoD Real Property","Lease of DoD Real Property","140","140","110","N","U",2015,"Total",NA,10267,NA,NA,NA,NA
"697",2017,"5189D","Lease of DoD Real Property","ARMY","10","Concept Obligations","Lease of DoD Real Property","Lease of DoD Real Property","150","150","110","N","U",2015,"Total",NA,21776,NA,NA,NA,NA
"698",2017,"5189D","Lease of DoD Real Property","NAVY","10","Concept Obligations","Lease of DoD Real Property","Lease of DoD Real Property","160","160","110","N","U",2015,"Total",NA,7284,NA,NA,NA,NA
"699",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"Total",NA,NA,NA,NA,NA,NA
"700",2017,"* Defense Health Program - $137.4M for transfer to the Department of Veterans Affairs included in this total.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,"Total",NA,NA,NA,NA,NA,NA
"701",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Maneuver Units","010","010","111","Y","U",2016,"Base",NA,NA,NA,340205,NA,NA
"702",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","020","020","112","Y","U",2016,"Base",NA,NA,NA,64329,NA,NA
"703",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","030","030","113","Y","U",2016,"Base",NA,NA,NA,468310,NA,NA
"704",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","040","040","114","Y","U",2016,"Base",NA,NA,NA,674432,NA,NA
"705",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","050","050","115","Y","U",2016,"Base",NA,NA,NA,531947,NA,NA
"706",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","Aviation Assets","060","060","116","Y","U",2016,"Base",NA,NA,NA,1434806,NA,NA
"707",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","070","070","121","Y","U",2016,"Base",NA,NA,NA,2576520,NA,NA
"708",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","080","080","122","Y","U",2016,"Base",NA,NA,NA,424805,NA,NA
"709",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","090","090","123","Y","U",2016,"Base",NA,NA,NA,593952,NA,NA
"710",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","100","100","131","Y","U",2016,"Base",NA,NA,NA,7437593,NA,NA
"711",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","110","110","132","Y","U",2016,"Base",NA,NA,NA,2628253,NA,NA
"712",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","120","120","133","Y","U",2016,"Base",NA,NA,NA,410698,NA,NA
"713",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commanders Core Operations","130","130","134","Y","U",2016,"Base",NA,NA,NA,163225,NA,NA
"714",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Additional Activities","140","140","135","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
"715",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Commanders Emergency Response Program","150","150","136","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
"716",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","RESET","160","160","137","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
"717",2017,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","Combatant Commands Direct Mission Support","170","170","138","Y","U",2016,"Base",NA,NA,NA,426611,NA,NA
"718",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Strategic Mobility","180","180","211","Y","U",2016,"Base",NA,NA,NA,387118,NA,NA
"719",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Army Prepositioned Stocks","190","190","212","Y","U",2016,"Base",NA,NA,NA,251083,NA,NA
"720",2017,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","Industrial Preparedness","200","200","213","Y","U",2016,"Base",NA,NA,NA,6532,NA,NA
"721",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Officer Acquisition","210","210","311","Y","U",2016,"Base",NA,NA,NA,128997,NA,NA
"722",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Recruit Training","220","220","312","Y","U",2016,"Base",NA,NA,NA,47468,NA,NA
"723",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","One Station Unit Training","230","230","313","Y","U",2016,"Base",NA,NA,NA,41954,NA,NA
"724",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","Senior Reserve Officers Training Corps","240","240","314","Y","U",2016,"Base",NA,NA,NA,478430,NA,NA
"725",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Specialized Skill Training","250","250","321","Y","U",2016,"Base",NA,NA,NA,938759,NA,NA
"726",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Flight Training","260","260","322","Y","U",2016,"Base",NA,NA,NA,926320,NA,NA
"727",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Professional Development Education","270","270","323","Y","U",2016,"Base",NA,NA,NA,221917,NA,NA
"728",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","Training Support","280","280","324","Y","U",2016,"Base",NA,NA,NA,570598,NA,NA
"729",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Recruiting and Advertising","290","290","331","Y","U",2016,"Base",NA,NA,NA,479121,NA,NA
"730",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Examining","300","300","332","Y","U",2016,"Base",NA,NA,NA,175937,NA,NA
"731",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Off-Duty and Voluntary Education","310","310","333","Y","U",2016,"Base",NA,NA,NA,219210,NA,NA
"732",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Civilian Education and Training","320","320","334","Y","U",2016,"Base",NA,NA,NA,145583,NA,NA
"733",2017,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","Junior Reserve Officer Training Corps","330","330","335","Y","U",2016,"Base",NA,NA,NA,175015,NA,NA
"734",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Servicewide Transportation","350","350","421","Y","U",2016,"Base",NA,NA,NA,485002,NA,NA
"735",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Central Supply Activities","360","360","422","Y","U",2016,"Base",NA,NA,NA,780360,NA,NA
"736",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Logistic Support Activities","370","370","423","Y","U",2016,"Base",NA,NA,NA,668522,NA,NA
"737",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","Ammunition Management","380","380","424","Y","U",2016,"Base",NA,NA,NA,314745,NA,NA
"738",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Administration","390","390","431","Y","U",2016,"Base",NA,NA,NA,372235,NA,NA
"739",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Servicewide Communications","400","400","432","Y","U",2016,"Base",NA,NA,NA,1736106,NA,NA
"740",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Manpower Management","410","410","433","Y","U",2016,"Base",NA,NA,NA,277101,NA,NA
"741",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Other Personnel Support","420","420","434","Y","U",2016,"Base",NA,NA,NA,374854,NA,NA
"742",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Other Service Support","430","430","435","Y","U",2016,"Base",NA,NA,NA,1077926,NA,NA
"743",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Army Claims Activities","440","440","436","Y","U",2016,"Base",NA,NA,NA,215153,NA,NA
"744",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Real Estate Management","450","450","437","Y","U",2016,"Base",NA,NA,NA,237380,NA,NA
"745",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","Financial Management and Audit Readiness","460","460","438","Y","U",2016,"Base",NA,NA,NA,222938,NA,NA
"746",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","International Military Headquarters","470","470","441","Y","U",2016,"Base",NA,NA,NA,376804,NA,NA
"747",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Support of Other Nations","Misc. Support of Other Nations","480","480","442","Y","U",2016,"Base",NA,NA,NA,39608,NA,NA
"748",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Closed Account Adjustments","490","490","451","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
"749",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Foreign Currency Fluctuation","500","500","471","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
"750",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Closed Account Adjustments","Defense Environmental Restoration Account (DERA)","510","510","493","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
"751",2017,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Judgment Fund","Judgment Fund","520","520","461","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
"752",2017,"2020A","Operation & Maintenance, Army","","04","Admin & Srvwide Activities","","Classified Programs","","","9999","Y","U",2016,"Base",NA,NA,NA,1132678,NA,NA
"753",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Modular Support Brigades","010","010","112","Y","U",2016,"Base",NA,NA,NA,16408,NA,NA
"754",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Echelons Above Brigade","020","020","113","Y","U",2016,"Base",NA,NA,NA,474690,NA,NA
"755",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","030","030","114","Y","U",2016,"Base",NA,NA,NA,104529,NA,NA
"756",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","040","040","115","Y","U",2016,"Base",NA,NA,NA,514221,NA,NA
"757",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces","Aviation Assets","050","050","116","Y","U",2016,"Base",NA,NA,NA,79442,NA,NA
"758",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","060","060","121","Y","U",2016,"Base",NA,NA,NA,347601,NA,NA
"759",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","070","070","122","Y","U",2016,"Base",NA,NA,NA,81350,NA,NA
"760",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","080","080","123","Y","U",2016,"Base",NA,NA,NA,54574,NA,NA
"761",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","090","090","131","Y","U",2016,"Base",NA,NA,NA,557852,NA,NA
"762",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","100","100","132","Y","U",2016,"Base",NA,NA,NA,258462,NA,NA
"763",2017,"2080A","Operation & Maintenance, Army Res","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","110","110","133","Y","U",2016,"Base",NA,NA,NA,40962,NA,NA
"764",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Logistics Operations","Servicewide Transportation","120","120","421","Y","U",2016,"Base",NA,NA,NA,10665,NA,NA
"765",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Administration","130","130","431","Y","U",2016,"Base",NA,NA,NA,18390,NA,NA
"766",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","140","140","432","Y","U",2016,"Base",NA,NA,NA,9976,NA,NA
"767",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Manpower Management","150","150","433","Y","U",2016,"Base",NA,NA,NA,8841,NA,NA
"768",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Recruiting and Advertising","160","160","434","Y","U",2016,"Base",NA,NA,NA,50928,NA,NA
"769",2017,"2080A","Operation & Maintenance, Army Res","ARMY","04","Admin & Srvwd Activities","Closed Account Adjustments","Closed Account Adjustments","170","170","451","Y","U",2016,"Base",NA,NA,NA,0,NA,NA
