"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"44",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","39 ","5212AZ3100","Common Ground Equipment","A","Weapon System Cost","39 ","Add","U",2010,"Total",116616,NA,NA,0,NA,NA
"45",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","40 ","6380AZ3110","Aircrew Integrated Systems","A","Weapon System Cost","40 ","Add","U",2010,"Total",66053,NA,NA,0,NA,NA
"46",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","41 ","6818AA0050","Air Traffic Control","A","Weapon System Cost","41 ","Add","U",2010,"Total",86762,NA,NA,0,NA,NA
"47",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","42 ","8132AZ3300","Industrial Facilities","A","Weapon System Cost","42 ","Add","U",2010,"Total",1528,NA,NA,0,NA,NA
"48",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","43 ","9154A50100","Launcher, 2.75 Rocket","A","Weapon System Cost","43 ","Add","U",2010,"Total",2708,NA,NA,0,NA,NA
"49",2012,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","44 ","9161AA0705","Airborne Communications","A","Weapon System Cost","44 ","Add","U",2010,"Total",11075,NA,NA,0,NA,NA
"50",2012,"2031A","Aircraft Procurement, Army","ARMY","20","Undistributed","99","Undistributed","45 ","FY2011CR","Adj to Match Continuing Resolution","A","Weapon System Cost","45 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"51",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","1  ","7152C49100","Patriot System Summary","A","Weapon System Cost","1  ","Add","U",2010,"Total",341296,NA,NA,59,NA,NA
"52",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","2  ","8260C53101","MSE Missile","A","Weapon System Cost","2  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"53",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","3  ","9001C81001","Surface-Launched Amraam System Summary:","A","Weapon System Cost","3  ","Add","U",2010,"Total",40349,NA,NA,0,NA,NA
"54",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-To-Air Missile System","3  ","9001C81001","Surface-Launched Amraam System Summary:","B","Less: Advance Procurement (PY)","3  ","Add","U",2010,"Total",-40349,NA,NA,0,NA,NA
"55",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","20","Air-To-Surface Missile System","4  ","1338C70000","Hellfire Sys Summary","A","Weapon System Cost","4  ","Add","U",2010,"Total",227101,NA,NA,2165,NA,NA
"56",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","5  ","0648CC0007","Javelin (Aaws-M) System Summary","A","Weapon System Cost","5  ","Add","U",2010,"Total",258553,NA,NA,1334,NA,NA
"57",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","6  ","2104C59300","Tow 2 System Summary","A","Weapon System Cost","6  ","Add","U",2010,"Total",141933,NA,NA,2482,NA,NA
"58",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","6  ","2104C59300","Tow 2 System Summary","B","Less: Advance Procurement (PY)","6  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"59",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","7  ","2104C59300","Tow 2 System Summary","C","Advance Procurement (CY)","7  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"60",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","8  ","4500C64501","BCT Non Line of Sight Launch System - Increm","A","Weapon System Cost","8  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"61",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","9  ","6005C64400","Guided Mlrs Rocket (GMLRS)","A","Weapon System Cost","9  ","Add","U",2010,"Total",353311,NA,NA,3228,NA,NA
"62",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","10 ","6060C65405","MLRS Reduced Range Practice Rockets (RRPR)","A","Weapon System Cost","10 ","Add","U",2010,"Total",15615,NA,NA,2064,NA,NA
"63",2012,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","11 ","6200C02901","High Mobility Artillery Rocket System (HIMARS","A","Weapon System Cost","11 ","Add","U",2010,"Total",208416,NA,NA,46,NA,NA
"64",2012,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","12 ","0962C50700","Patriot Mods","A","Weapon System Cost","12 ","Add","U",2010,"Total",44637,NA,NA,0,NA,NA
"65",2012,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","13 ","2684C20000","Stinger Mods","A","Weapon System Cost","13 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"66",2012,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","14 ","3972C61700","Itas/Tow Mods","A","Weapon System Cost","14 ","Add","U",2010,"Total",6961,NA,NA,0,NA,NA
"67",2012,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","15 ","6552C67500","MLRS Mods","A","Weapon System Cost","15 ","Add","U",2010,"Total",22423,NA,NA,0,NA,NA
"68",2012,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","16 ","6580C67501","Himars Modifications","A","Weapon System Cost","16 ","Add","U",2010,"Total",70890,NA,NA,0,NA,NA
"69",2012,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","17 ","6700C71500","Hellfire Modifications","A","Weapon System Cost","17 ","Add","U",2010,"Total",10,NA,NA,0,NA,NA
