"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"93",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","090","090","ES08","Sustainment","Y","Y","U",2010,"Total",1217159,NA,NA,NA,NA
"94",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","110","110","ES10","Sustainment","Y","Y","U",2010,"Total",19119,NA,NA,NA,NA
"95",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","120","120","ES11","Training And Operations","Y","Y","U",2010,"Total",17600,NA,NA,NA,NA
"96",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","130","130","ES12","Infrastructure","Y","Y","U",2010,"Total",61920,NA,NA,NA,NA
"97",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","140","140","ES14","Coin Activities","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"98",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","03","Associated Activities","Related Activities","150","150","ES16","Equipment And Transportation","Y","Y","U",2010,"Total",100,NA,NA,NA,NA
"99",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","05","Contributions","Related Activities","170","170","500","Contributions","Y","Y","U",2010,"Total",115992,NA,NA,NA,NA
"100",2012,"2091","A","Afghanistan Security Forces Fund","ARMY","20","Undistributed","Undistributed","180","180","CR11","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"101",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Administration","040","040","100","Iraq Security Forces Fund","Y","Y","U",2010,"Total",740730,NA,NA,NA,NA
"102",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","010","010","ES02","Equipment And Transportation","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"103",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","020","020","ES03","Training","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"104",2012,"2092","A","Iraq Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","030","030","ES04","Sustainment","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
