"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype","SpecialTotal","SpecialType"
"149",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Base.Ann",NA,NA,NA,NA,NA,NA,0
"150",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Base.Ann",NA,NA,NA,NA,NA,NA,0
"151",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2011,"Base.Ann",NA,NA,NA,NA,NA,NA,55749
"152",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Base.Ann",NA,NA,NA,NA,NA,NA,0
"153",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","U",2011,"Base.Ann",NA,NA,NA,NA,NA,NA,0
"154",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","U",2011,"Base.Ann",NA,NA,NA,NA,NA,NA,0
"155",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","U",2011,"Base.Ann",NA,NA,NA,NA,NA,NA,1273571
"156",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base.Ann",NA,NA,NA,NA,NA,NA,NA
"157",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base.Ann",NA,NA,NA,NA,NA,NA,NA
"158",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base.Ann",NA,NA,NA,NA,NA,NA,NA
"159",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base.Ann",NA,NA,NA,NA,NA,NA,NA
"160",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Base.Ann",NA,NA,NA,NA,NA,NA,NA
"161",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"162",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"163",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"164",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"165",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"166",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"167",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"168",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"169",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"170",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"171",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"172",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"173",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"174",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"175",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"176",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,17000
"177",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"178",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"179",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"180",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"181",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"182",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"183",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"184",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"185",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,258373
"186",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,1174063
"187",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","U",2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,0
"188",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,NA
"189",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,NA
"190",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,NA
"191",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,NA
"192",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"OCO.Ann",NA,NA,NA,NA,NA,NA,NA
"193",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,54636,NA
"194",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"195",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"196",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,677979,NA
"197",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,55669,NA
"198",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,2610,NA
"199",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,190723,NA
"200",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,46213,NA
"201",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,43505,NA
"202",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,8698,NA
"203",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,49978,NA
"204",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,592570,NA
"205",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"206",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"207",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"208",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,17000,NA
"209",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,66861,NA
"210",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"211",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"212",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"213",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"214",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"215",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,55749,NA
"216",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,0,NA
"217",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,258373,NA
"218",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,1174063,NA
"219",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","U",2011,"Total.Ann",NA,NA,NA,NA,NA,1273571,NA
"220",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total.Ann",NA,NA,NA,NA,NA,NA,NA
"221",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total.Ann",NA,NA,NA,NA,NA,NA,NA
"222",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total.Ann",NA,NA,NA,NA,NA,NA,NA
"223",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total.Ann",NA,NA,NA,NA,NA,NA,NA
"224",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Total.Ann",NA,NA,NA,NA,NA,NA,NA
"225",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Base",NA,NA,NA,NA,101194,NA,NA
"226",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"227",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"228",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2012,"Base",NA,NA,NA,NA,425865,NA,NA
"229",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2012,"Base",NA,NA,NA,NA,24161,NA,NA
"230",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","U",2012,"Base",NA,NA,NA,NA,1138,NA,NA
"231",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"Base",NA,NA,NA,NA,92567,NA,NA
"232",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","U",2012,"Base",NA,NA,NA,NA,184109,NA,NA
"233",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","U",2012,"Base",NA,NA,NA,NA,40831,NA,NA
"234",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"235",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","U",2012,"Base",NA,NA,NA,NA,48443,NA,NA
"236",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","U",2012,"Base",NA,NA,NA,NA,309270,NA,NA
"237",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"238",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"239",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"240",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"241",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"242",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","U",2012,"Base",NA,NA,NA,NA,65372,NA,NA
"243",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"244",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"245",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"246",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"247",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"Base",NA,NA,NA,NA,31614,NA,NA
"248",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"249",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"250",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","U",2012,"Base",NA,NA,NA,NA,0,NA,NA
"251",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","U",2012,"Base",NA,NA,NA,NA,1376830,NA,NA
"252",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA,NA,NA
"253",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA,NA,NA
"254",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA,NA,NA
"255",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA,NA,NA
"256",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Base",NA,NA,NA,NA,NA,NA,NA
"257",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"258",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","U",2012,"OCO",NA,NA,NA,NA,54000,NA,NA
"259",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"260",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"261",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"262",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"263",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"264",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","060","060","0230","DoD Mobilization Alterations","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"265",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","070","070","0250","TAH Maintenance","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"266",2012,"4557N","National Defense Sealift Fund","NAVY","03","Strategic Sealift Support","080","080","0300","Strategic Sealift Support","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"267",2012,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","090","090","0900","Research And Development","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"268",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","100","100","0500","Ready Reserve Force","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"269",2012,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Force","110","110","0510","MARAD Ship Financing Guarantee Program","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"270",2012,"4557N","National Defense Sealift Fund","NAVY","20","Undistributed","120","120","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"271",2012,"493002N","Working Capital Fund, Navy","NAVY","20","Undistributed","010","010","ES17","Fuel Costs","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"272",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","010","010","200","Transportation Fallen Heroes","Y","U",2012,"OCO",NA,NA,NA,NA,10000,NA,NA
"273",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","020","020","210","Container Deconsolidation","Y","U",2012,"OCO",NA,NA,NA,NA,2000,NA,NA
"274",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","030","030","220","War Reserve Material","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"275",2012,"493003F","Working Capital Fund, Air Force","AF","20","Transportation","040","040","ES17","Fuel Costs","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"276",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","010","010","110","Defense Coalition Support","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"277",2012,"4640D","Defense Coalition Acquisition, Defense","DSCA","20","Coalition Acquisition","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"278",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","020","020","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"279",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","20","DLA Working Capital Funds","010","010","ES08","Defense Logistics Agency (DLA)","Y","U",2012,"OCO",NA,NA,NA,NA,369013,NA,NA
"280",2012,"493005D","Working Capital Fund, Defense-Wide","UNDD","20","DLA Working Capital Funds","","","CR11","Adj to Match Continuing Resolution","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"281",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","26","Supply Chain Management - Def","030","030","010","Supply Chain Management - Def","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"282",2012,"493005D","Working Capital Fund, Defense-Wide","DLA","27","Energy Management - Def","040","040","010","Energy Management - Def","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"283",2012,"493004D","Working Capital Fund, DECA","DECA","20","Undistributed","010","010","ES11","Working Capital Fund, DECA","Y","U",2012,"OCO",NA,NA,NA,NA,0,NA,NA
"284",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA,NA,NA
"285",2012,"* Reflects the FY 2011 President's Budget with an undistributed adjustment to match the Annualized Continuing Resolution funding level",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA,NA,NA
"286",2012,"by appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA,NA,NA
"287",2012,"** Adjusts each budget line included in the FY 2011 President's Budget request proportionally to match the Annualized Continuing Resolution funding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA,NA,NA
"288",2012,"level for each appropriation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"OCO",NA,NA,NA,NA,NA,NA,NA
"289",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","010","010","200","Prepositioned War Reserve Stocks","Y","U",2012,"Total",NA,NA,NA,101194,NA,NA,NA
"290",2012,"493001A","Working Capital Fund, Army","ARMY","20","Supply Management","020","020","ES01","Prepositioned War Reserve Stocks","Y","U",2012,"Total",NA,NA,NA,54000,NA,NA,NA
"291",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","010","010","0120","T-AKE","Y","U",2012,"Total",NA,NA,NA,0,NA,NA,NA
"292",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","020","020","0401","MPF MLP","Y","U",2012,"Total",NA,NA,NA,425865,NA,NA,NA
"293",2012,"4557N","National Defense Sealift Fund","NAVY","01","Strategic Sealift Acquisition","030","030","5000","Post Delivery and Outfitting","Y","U",2012,"Total",NA,NA,NA,24161,NA,NA,NA
"294",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","040","040","0200","National Def Sealift Vessel","Y","U",2012,"Total",NA,NA,NA,1138,NA,NA,NA
"295",2012,"4557N","National Defense Sealift Fund","NAVY","02","DoD Mobilization Assets","050","050","0220","LG Med Spd Ro/Ro Maintenance","Y","U",2012,"Total",NA,NA,NA,92567,NA,NA,NA
