"","SourceFiscalYear","AccountDSI","AccountTitle","MilDeptDW","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","EnactedTotal","EnactedType","PBtotal","PBtype","SAG","SAG.Title","FiscalYear","BudgetSubActivityTitle","BudgetLineItem","ActualTotal"
"124",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Ship Operations",110,NA,NA,NA,NA,"1B4B","Ship Depot Maintenance",2010,"","",6265286
"125",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Ship Operations",120,NA,NA,NA,NA,"1B5B","Ship Depot Operations Support",2010,"","",1180711
"126",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",130,NA,NA,NA,NA,"1C1C","Combat Communications",2010,"","",695359
"127",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",140,NA,NA,NA,NA,"1C2C","Electronic Warfare",2010,"","",79898
"128",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",150,NA,NA,NA,NA,"1C3C","Space Systems And Surveillance",2010,"","",201871
"129",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",160,NA,NA,NA,NA,"1C4C","Warfare Tactics",2010,"","",474110
"130",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",170,NA,NA,NA,NA,"1C5C","Operational Meteorology And Oceanography",2010,"","",343674
"131",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",180,NA,NA,NA,NA,"1C6C","Combat Support Forces",2010,"","",2474781
"132",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",190,NA,NA,NA,NA,"1C7C","Equipment Maintenance",2010,"","",182326
"133",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",200,NA,NA,NA,NA,"1C8C","Depot Operations Support",2010,"","",4575
"134",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",210,NA,NA,NA,NA,"1CCH","Combatant Commanders Core Operations",2010,"","",190112
"135",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Combat Operations/Support",220,NA,NA,NA,NA,"1CCM","Combatant Commanders Direct Mission Support",2010,"","",283736
